word	year	occurences	books
Taxi	1729	1	1
Taxi	1730	1	1
Taxi	1731	1	1
Taxi	1740	1	1
Taxi	1742	1	1
Taxi	1748	1	1
Taxi	1751	2	2
Taxi	1753	1	1
Taxi	1758	1	1
Taxi	1772	1	1
Taxi	1773	2	2
Taxi	1781	3	3
Taxi	1782	1	1
Taxi	1786	7	6
Taxi	1787	3	3
Taxi	1790	2	2
Taxi	1792	1	1
Taxi	1794	1	1
Taxi	1798	1	1
Taxi	1801	2	2
Taxi	1802	1	1
Taxi	1803	4	3
Taxi	1804	1	1
Taxi	1805	1	1
Taxi	1809	1	1
Taxi	1810	3	3
Taxi	1811	1	1
Taxi	1812	2	2
Taxi	1813	1	1
Taxi	1814	3	3
Taxi	1816	1	1
Taxi	1820	1	1
Taxi	1822	2	2
Taxi	1824	1	1
Taxi	1825	4	3
Taxi	1826	1	1
Taxi	1827	1	1
Taxi	1829	1	1
